# Number of Traces
   9684
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
  0; 0; 1; 0.944845; 0.39767; 0.11151; 0.783023; 0.803835; 0.60035
  1; 0; 2; 0.440954; 0.781806; 1.00029; 0.634126; 0.145642; 0.307909
  2; 0; 3; 0.942947; 0.213989; -0.0183002; 0.241924; 0.379964; 0.953171
  3; 0; 7; 0.580358; 0.12127; 0.355734; 0.986831; 0.0604805; -0.182056
  4; 0; 8; 1.22279; 1.11081; 0.286621; 0.938868; 0.0410423; -0.137739
  5; 0; 9; 0.999067; 0.258728; -0.0543336; 0.84973; 1.07701; 0.715754
  6; 0; 10; -0.0863484; -0.260053; 0.891833; 0.941374; 0.558111; 0.231132
  7; 0; 12; 0.828102; 0.200388; 0.11151; 0.546687; 0.245045; 0.485689
  8; 0; 13; 0.798391; 0.150179; 0.11151; 0.0647354; 0.26586; 1.08647
  9; 0; 14; 0.964836; 0.811781; 0.385072; 0.799891; 0.992783; 0.715754
  10; 0; 16; 0.492944; -0.0406696; 0.345505; 0.479828; 0.46433; 0.724683
  11; 0; 18; 0.834264; -0.128371; -0.132448; 1.14131; 1.13594; 0.403728
  12; 0; 19; 1.06802; 0.719103; 0.192995; 1.15959; 1.05924; 0.32634
  13; 0; 20; 0.767657; 0.941624; 0.718136; 0.183486; -0.228301; 0.58669
  14; 0; 22; 0.962098; 1.24199; 0.69784; 0.686019; -0.0290152; 0.119207
  15; 0; 23; 0.978278; 0.454167; 0.11151; 0.592086; 0.170519; 0.376901
  16; 0; 25; 0.767901; 1.04107; 0.789368; 0.597115; 0.167543; 0.368648
  17; 0; 26; 1.21677; 1.05783; 0.255828; 0.412148; 0.337545; 0.715754
  18; 0; 27; 1.20647; 0.839781; 0.11151; 0.156058; -0.186019; 0.650441
  19; 0; 28; 0.794511; 0.143624; 0.11151; 0.422607; 0.35522; 0.715754
  20; 0; 30; 1.04751; 0.596171; 0.129505; 0.574037; 0.611117; 0.715754
  21; 0; 33; 0.918579; 0.353283; 0.11151; 0.09218; 0.61808; 1.30646
  22; 0; 34; 0.765991; 0.0954276; 0.11151; 0.370915; 0.202337; 0.66862
  23; 0; 36; 0.75888; 0.92348; 0.715754; 0.744688; 0.0802158; 0.126462
  24; 0; 38; 1.0735; 1.18362; 0.520442; 0.440499; 0.664789; 0.916673
  25; 0; 40; 1.12951; 1.14292; 0.423088; 0.288192; -0.613407; 0.182422
  26; 0; 41; 0.450382; 0.402156; 0.715754; 0.669849; -0.454254; -0.167004
  27; 0; 42; 0.988429; 0.889281; 0.41214; 0.72579; 0.867562; 0.715754
  28; 0; 45; 0.498587; 0.483616; 0.715754; 0.458387; 0.249637; 0.596319
  29; 0; 46; 0.894271; 0.312206; 0.11151; 0.273117; 0.461931; 0.974212
  30; 0; 47; 0.966896; 0.77037; 0.352782; 0.737987; -0.182484; -0.0543465
  31; 0; 49; 0.945715; 0.230069; -0.0100988; 0.601826; 0.714681; 0.756466
  32; 0; 51; 1.31646; 1.03229; 0.116282; 0.59106; -0.198078; 0.113025
